Country,Activemilitary,Reservemilitary,Paramilitary,Total,Per1000CapitaTotal,Per1000CapitaActive
Afghanistan,250000,75000,170000,495000,14.2,7.2
Albania,8000,0,0,8000,2.6,2.6
Algeria,130000,150000,187200,467200,11.2,3.1
Angola,107000,0,10000,117000,3.9,3.5
Antigua and Barbuda,180,80,0,260,2.7,1.9
Argentina,72100,0,31250,103350,2.3,1.6
Armenia,44800,210000,4300,259100,85.3,14.7
Australia,58600,30100,0,88700,3.8,2.5
Austria,22050,125600,0,147650,16.8,2.5
Azerbaijan,126950,330000,15000,471950,47,12.6
Bahamas,1300,0,0,1300,3.9,3.9
Bahrain,8200,0,11260,19460,13.5,5.7
Bangladesh,163050,0,63900,226950,1.4,1
Barbados,610,430,0,1040,3.6,2.1
Belarus,45350,289500,110000,444850,46.7,4.8
Belgium,26300,5100,0,31400,2.7,2.3
Belize,1500,700,150,2350,6.1,3.9
Benin,7250,0,4800,12050,1.1,0.6
Bolivia,34100,0,37100,71200,6.3,3
Bosnia and Herzegovina,10500,0,0,10500,2.7,2.7
Botswana,9000,0,0,9000,4,4
Brazil,366500,1340000,395000,2101500,10.1,1.8
Brunei,7200,700,450,8350,18.5,16
Bulgaria,36950,3000,0,39950,5.7,5.2
Burkina Faso,11200,0,250,11450,0.6,0.6
Burundi,30050,0,21000,51050,4.3,2.5
Cambodia,124300,0,67000,191300,11.6,7.6
Cameroon,25400,0,9000,34400,1.3,1
Canada,67400,35600,4500,107500,3,1.9
Cape Verde,1200,0,0,1200,2.1,2.1
Central African Republic,9150,0,1000,10150,1.8,1.6
Chad,33250,0,11900,45150,2.9,2.1
Chile,77200,40000,44700,161900,9,4.3
People's Republic of China,2185000,1170000,660000,4015000,2.9,1.6
Colombia,293200,34950,187900,516050,10.7,6.1
Costa Rica,0,0,9800,9800,2,0
Côte d'Ivoire,27400,0,0,27400,1,1
Croatia,15200,18350,3000,36550,8.6,3.6
Cuba,49000,39000,1146500,1234500,110.9,4.4
Cyprus,15000,50000,750,65750,53.1,12.1
Czech Republic,21750,0,0,21750,2,2
Democratic Republic of the Congo,134250,0,0,134250,1.6,1.6
Denmark,14500,44000,0,58500,10.1,2.5
Djibouti,10450,0,2650,13100,14.8,11.8
Dominican Republic,56050,0,15000,71050,6.9,5.4
East Timor,2280,0,0,2280,1.7,1.7
Ecuador,40250,118000,500,158750,9.6,2.4
Egypt,438500,479000,397000,1314500,13.2,4.4
El Salvador,24500,9900,17000,51400,8.3,4
Equatorial Guinea,1450,0,0,1450,1.8,1.8
Eritrea,201750,120000,0,321750,53.9,33.8
Estonia,7100,17500,0,24600,19.8,5.7
Ethiopia,138000,0,0,138000,1.3,1.3
Fiji,3500,6000,0,9500,10.3,3.8
Finland,23800,254000,14200,292000,52.7,4.3
France,208750,141050,30800,380600,5.6,3.1
Gabon,4700,0,2000,6700,3.2,2.2
Gambia,800,0,0,800,0.4,0.4
Georgia,20650,0,5400,26050,5.3,4.2
Germany,183500,50050,0,233550,2.9,2.3
Ghana,15500,0,0,15500,0.6,0.6
Greece,142700,221350,4000,368050,34.2,13.3
Guatemala,18050,63850,25000,106900,6.4,1.1
Guinea,9700,0,2600,12300,1,0.8
Guinea-Bissau,4450,0,0,4450,2.4,2.4
Guyana,3400,670,0,4070,5.5,4.6
Haiti,150,0,50,200,0,0
Honduras,14950,60000,8000,82950,9,1.6
Hungary,27800,20000,12000,59800,6.1,2.8
Iceland,0,0,250,250,0.7,0
India,1455550,1155000,2526950,5137500,4,1.1
Indonesia,395500,400000,280000,1075500,4.1,1.5
Iran,610000,350000,40000,1000000,12,7.3
Iraq,193000,0,148000,341000,8.5,4.8
Ireland,9500,4050,0,13550,2.7,1.9
Israel,169500,465000,8000,642500,76.3,20.1
Italy,165500,18300,175750,359550,5.8,2.7
Jamaica,3950,980,0,4930,1.8,1.4
Japan,247150,56000,14350,317500,2.5,2
Jordan,100500,65000,15000,180500,17.3,9.6
Kazakhstan,39000,0,31500,70500,3.8,2.1
Kenya,24100,0,5000,29100,0.6,0.5
Kosovo,5000,3000,1500,9500,5,2.6
Kuwait,17500,23700,7100,48300,16.6,6
Kyrgyzstan,10900,0,9500,20400,3.5,1.9
Laos,29100,0,100000,129100,17.8,4
Latvia,6210,15900,0,22110,11.5,3.2
Lebanon,60000,0,20000,80000,13.1,9.8
Lesotho,2000,0,0,2000,1,1
Liberia,2010,0,0,2010,0.4,0.4
Libya,0,0,0,0,0,0
Lithuania,19850,6700,14400,40950,14.7,7.1
Luxembourg,900,0,600,1500,2.5,1.5
Madagascar,13500,0,8100,21600,0.8,0.5
Malawi,10700,0,4200,14900,0.8,0.5
Malaysia,113000,51600,267200,431800,13.6,3.6
Mali,13000,0,7800,20800,1.1,0.7
Malta,1950,180,0,2130,4.7,4.3
Mauritania,15850,0,5000,20850,5.4,4.1
Mauritius,0,0,2550,2550,1.9,0
Mexico,216000,81500,111900,409400,3.3,1.7
Moldova,5150,58000,900,64050,18.6,1.5
Mongolia,9700,137000,7500,154200,49.7,3.1
Montenegro,2350,0,10100,12450,20.3,3.8
Morocco,195800,150000,50000,395800,11.5,5.7
Mozambique,11200,0,0,11200,0.4,0.4
Myanmar,406000,0,107000,513000,9.2,7.3
Namibia,9900,0,6000,15900,6.3,3.9
Nepal,96600,0,15000,111600,3.8,3.3
Netherlands,35400,4500,5900,45800,2.7,2.1
New Zealand,9000,2300,0,11300,2.5,2
Nicaragua,12000,0,0,12000,2,2
Niger,5300,0,5400,10700,0.5,0.3
Nigeria,143000,0,80000,223000,1.1,0.7
North Korea,1280000,600000,5889000,7769000,306.1,50.4
North Macedonia,8000,4850,7600,20450,9.7,3.8
Norway,23250,40000,0,63250,11.8,4.3
Oman,42600,0,4400,47000,13.5,12.2
Pakistan,654000,550000,291000,1495000,7.2,3.1
Palestine,0,0,0,0,0,0
Panama,0,0,26000,26000,6.8,0
Papua New Guinea,3600,0,0,3600,0.5,0.5
Paraguay,13950,164500,14800,193250,27.5,2
Peru,81000,188000,77000,346000,11,2.6
Philippines,143100,131000,62300,336400,3.2,1.4
Poland,114050,0,75400,189450,4.9,3
Portugal,27250,211700,24700,263650,25.5,2.6
